|F| is smaller than |a|	smaller(f,a)
Both X. and Y. are in the same row	samerow(x,y)
Both x and Y. are in the same row	samerow(x,y)
X and y are both in the same row	samerow(x,y)
X. and Y. are both in the same row	samerow(x,y)
|C| adjoins y	adjoins(c,y)
|F| is a cube	cube(f)
Both |c| and |d| are the same size	samesize(c,d)
Both |c| and |d| are the same size	samesize(c,d)
|C| and |d| are the same size	samesize(c,d)
|C| is the same size as |d|	samesize(c,d)
|C| and |d| both are the same size	samesize(c,d)
|C| and |d| are both the same size	samesize(c,d)
Both |a| and |a| are in the same column	samecol(a,a)
|A| and |a| both are in the same column	samecol(a,a)
|A| and |a| are in the same column	samecol(a,a)
|A| and |a| are both in the same column	samecol(a,a)
|A| is in the same column as |a|	samecol(a,a)
Both |a| and |a| are in the same column	samecol(a,a)
Y. is in back of |a|	backof(y,a)
Y is in back of |a|	backof(y,a)
|C| is in front of |d|	frontof(c,d)
X. is to the right of y	rightof(x,y)
X is to the right of y	rightof(x,y)
Z. and z both are the same shape	sameshape(z,z)
Both z and Z. are the same shape	sameshape(z,z)
Z. and Z. are both the same shape	sameshape(z,z)
Z and Z. are the same shape	sameshape(z,z)
Z and z are the same shape	sameshape(z,z)
Z. and Z. both are the same shape	sameshape(z,z)
Both Z. and z are the same shape	sameshape(z,z)
Both Z. and Z. are the same shape	sameshape(z,z)
Z and Z. are both the same shape	sameshape(z,z)
Both Z. and z are the same shape	sameshape(z,z)
Both z and z are the same shape	sameshape(z,z)
Z. and Z. are the same shape	sameshape(z,z)
Z and z are both the same shape	sameshape(z,z)
Both z and z are the same shape	sameshape(z,z)
Both z and Z. are the same shape	sameshape(z,z)
Z. and z are the same shape	sameshape(z,z)
Z and Z. both are the same shape	sameshape(z,z)
Z. and z are both the same shape	sameshape(z,z)
Both Z. and Z. are the same shape	sameshape(z,z)
Z and z both are the same shape	sameshape(z,z)
|E| is larger than |f|	larger(e,f)
|D| and |a| are in the same column	samecol(d,a)
|D| is in the same column as |a|	samecol(d,a)
|D| and |a| are both in the same column	samecol(d,a)
Both |d| and |a| are in the same column	samecol(d,a)
Both |d| and |a| are in the same column	samecol(d,a)
|D| and |a| both are in the same column	samecol(d,a)
|A| adjoins |a|	adjoins(a,a)
|E| likes |d|	likes(e,d)
|B| adjoins |b|	adjoins(b,b)
|E| is to the right of |e|	rightof(e,e)
Y. is happy	happy(y)
Y is happy	happy(y)
Y is larger than |d|	larger(y,d)
Y. is larger than |d|	larger(y,d)
|D| is larger than |e|	larger(d,e)
|D| is in back of |a|	backof(d,a)
Y is in back of |e|	backof(y,e)
Y. is in back of |e|	backof(y,e)
X is to the right of |d|	rightof(x,d)
X. is to the right of |d|	rightof(x,d)
Both |f| and |f| are the same shape	sameshape(f,f)
|F| is the same shape as |f|	sameshape(f,f)
|F| and |f| are the same shape	sameshape(f,f)
Both |f| and |f| are the same shape	sameshape(f,f)
|F| and |f| are both the same shape	sameshape(f,f)
|F| and |f| both are the same shape	sameshape(f,f)
Z is medium	medium(z)
Z. is medium	medium(z)
|C| and Z. are in the same column	samecol(c,z)
|C| and z are in the same column	samecol(c,z)
|C| and Z. both are in the same column	samecol(c,z)
|C| and Z. are both in the same column	samecol(c,z)
Both |c| and z are in the same column	samecol(c,z)
|C| and z both are in the same column	samecol(c,z)
Both |c| and Z. are in the same column	samecol(c,z)
Both |c| and z are in the same column	samecol(c,z)
Both |c| and Z. are in the same column	samecol(c,z)
|C| and z are both in the same column	samecol(c,z)
|A| likes |a|	likes(a,a)
|D| is to the right of |e|	rightof(d,e)
|C| and |c| are both in the same row	samerow(c,c)
Both |c| and |c| are in the same row	samerow(c,c)
|C| and |c| are in the same row	samerow(c,c)
|C| is in the same row as |c|	samerow(c,c)
|C| and |c| both are in the same row	samerow(c,c)
Both |c| and |c| are in the same row	samerow(c,c)
|D| and |b| are the same shape	sameshape(d,b)
Both |d| and |b| are the same shape	sameshape(d,b)
|D| is the same shape as |b|	sameshape(d,b)
|D| and |b| both are the same shape	sameshape(d,b)
|D| and |b| are both the same shape	sameshape(d,b)
Both |d| and |b| are the same shape	sameshape(d,b)
Both x and |a| are in the same column	samecol(x,a)
Both x and |a| are in the same column	samecol(x,a)
X. and |a| both are in the same column	samecol(x,a)
X and |a| are both in the same column	samecol(x,a)
Both X. and |a| are in the same column	samecol(x,a)
X. and |a| are in the same column	samecol(x,a)
X and |a| both are in the same column	samecol(x,a)
X. is in the same column as |a|	samecol(x,a)
X is in the same column as |a|	samecol(x,a)
Both X. and |a| are in the same column	samecol(x,a)
X and |a| are in the same column	samecol(x,a)
X. and |a| are both in the same column	samecol(x,a)
|F| adjoins |f|	adjoins(f,f)
Both X. and |b| are the same shape	sameshape(x,b)
X and |b| both are the same shape	sameshape(x,b)
X. is the same shape as |b|	sameshape(x,b)
X. and |b| are the same shape	sameshape(x,b)
X. and |b| are both the same shape	sameshape(x,b)
Both x and |b| are the same shape	sameshape(x,b)
X is the same shape as |b|	sameshape(x,b)
Both X. and |b| are the same shape	sameshape(x,b)
X and |b| are the same shape	sameshape(x,b)
X. and |b| both are the same shape	sameshape(x,b)
Both x and |b| are the same shape	sameshape(x,b)
X and |b| are both the same shape	sameshape(x,b)
Z is to the left of |a|	leftof(z,a)
Z. is to the left of |a|	leftof(z,a)
|C| likes |b|	likes(c,b)
|C| is larger than |f|	larger(c,f)
|F| is to the right of |e|	rightof(f,e)
Z is in front of |d|	frontof(z,d)
Z. is in front of |d|	frontof(z,d)
|C| is medium	medium(c)
|B| is smaller than y	smaller(b,y)
|E| is smaller than |d|	smaller(e,d)
|B| is happy	happy(b)
Y. likes |e|	likes(y,e)
Y likes |e|	likes(y,e)
|D| and X. both are the same shape	sameshape(d,x)
Both |d| and X. are the same shape	sameshape(d,x)
|D| and X. are the same shape	sameshape(d,x)
|D| and x are both the same shape	sameshape(d,x)
Both |d| and x are the same shape	sameshape(d,x)
|D| is the same shape as x	sameshape(d,x)
|D| and X. are both the same shape	sameshape(d,x)
|D| and x both are the same shape	sameshape(d,x)
Both |d| and X. are the same shape	sameshape(d,x)
|D| and x are the same shape	sameshape(d,x)
Both |d| and x are the same shape	sameshape(d,x)
Both |e| and y are the same size	samesize(e,y)
|E| and y are both the same size	samesize(e,y)
|E| and Y. are the same size	samesize(e,y)
Both |e| and y are the same size	samesize(e,y)
|E| and Y. both are the same size	samesize(e,y)
Both |e| and Y. are the same size	samesize(e,y)
|E| and Y. are both the same size	samesize(e,y)
|E| and y both are the same size	samesize(e,y)
|E| and y are the same size	samesize(e,y)
|E| is the same size as y	samesize(e,y)
Both |e| and Y. are the same size	samesize(e,y)
Both Y. and |e| are the same shape	sameshape(y,e)
Both y and |e| are the same shape	sameshape(y,e)
Y and |e| are the same shape	sameshape(y,e)
Y. and |e| are the same shape	sameshape(y,e)
Both Y. and |e| are the same shape	sameshape(y,e)
Both y and |e| are the same shape	sameshape(y,e)
Y. and |e| are both the same shape	sameshape(y,e)
Y is the same shape as |e|	sameshape(y,e)
Y. and |e| both are the same shape	sameshape(y,e)
Y and |e| are both the same shape	sameshape(y,e)
Y. is the same shape as |e|	sameshape(y,e)
Y and |e| both are the same shape	sameshape(y,e)
Both |a| and Z. are in the same row	samerow(a,z)
Both |a| and Z. are in the same row	samerow(a,z)
|A| and z are in the same row	samerow(a,z)
|A| and z are both in the same row	samerow(a,z)
|A| and Z. both are in the same row	samerow(a,z)
Both |a| and z are in the same row	samerow(a,z)
Both |a| and z are in the same row	samerow(a,z)
|A| and Z. are both in the same row	samerow(a,z)
|A| and z both are in the same row	samerow(a,z)
|A| and Z. are in the same row	samerow(a,z)
|C| is the same shape as |f|	sameshape(c,f)
Both |c| and |f| are the same shape	sameshape(c,f)
|C| and |f| are both the same shape	sameshape(c,f)
Both |c| and |f| are the same shape	sameshape(c,f)
|C| and |f| are the same shape	sameshape(c,f)
|C| and |f| both are the same shape	sameshape(c,f)
X. and |a| both are in the same row	samerow(x,a)
X is in the same row as |a|	samerow(x,a)
X and |a| are in the same row	samerow(x,a)
Both x and |a| are in the same row	samerow(x,a)
X. and |a| are in the same row	samerow(x,a)
X. and |a| are both in the same row	samerow(x,a)
X and |a| are both in the same row	samerow(x,a)
Both x and |a| are in the same row	samerow(x,a)
Both X. and |a| are in the same row	samerow(x,a)
X. is in the same row as |a|	samerow(x,a)
X and |a| both are in the same row	samerow(x,a)
Both X. and |a| are in the same row	samerow(x,a)
|F| is smaller than |c|	smaller(f,c)
Both |b| and |a| are in the same column	samecol(b,a)
|B| is in the same column as |a|	samecol(b,a)
|B| and |a| both are in the same column	samecol(b,a)
Both |b| and |a| are in the same column	samecol(b,a)
|B| and |a| are in the same column	samecol(b,a)
|B| and |a| are both in the same column	samecol(b,a)
Both y and |b| are in the same row	samerow(y,b)
Both Y. and |b| are in the same row	samerow(y,b)
Y. and |b| are both in the same row	samerow(y,b)
Y is in the same row as |b|	samerow(y,b)
Y and |b| are both in the same row	samerow(y,b)
Both Y. and |b| are in the same row	samerow(y,b)
Y and |b| both are in the same row	samerow(y,b)
Y. is in the same row as |b|	samerow(y,b)
Y and |b| are in the same row	samerow(y,b)
Both y and |b| are in the same row	samerow(y,b)
Y. and |b| are in the same row	samerow(y,b)
Y. and |b| both are in the same row	samerow(y,b)
|E| is to the left of |b|	leftof(e,b)
|D| adjoins |f|	adjoins(d,f)
|F| and x both are the same size	samesize(f,x)
|F| and x are the same size	samesize(f,x)
|F| and x are both the same size	samesize(f,x)
|F| and X. are both the same size	samesize(f,x)
Both |f| and X. are the same size	samesize(f,x)
Both |f| and X. are the same size	samesize(f,x)
Both |f| and x are the same size	samesize(f,x)
|F| is the same size as x	samesize(f,x)
|F| and X. are the same size	samesize(f,x)
Both |f| and x are the same size	samesize(f,x)
|F| and X. both are the same size	samesize(f,x)
|C| is to the right of |c|	rightof(c,c)
Both |c| and z are in the same row	samerow(c,z)
Both |c| and Z. are in the same row	samerow(c,z)
Both |c| and Z. are in the same row	samerow(c,z)
|C| and Z. both are in the same row	samerow(c,z)
|C| and Z. are both in the same row	samerow(c,z)
|C| and Z. are in the same row	samerow(c,z)
|C| and z are in the same row	samerow(c,z)
|C| and z both are in the same row	samerow(c,z)
Both |c| and z are in the same row	samerow(c,z)
|C| and z are both in the same row	samerow(c,z)
X. likes |d|	likes(x,d)
X likes |d|	likes(x,d)
|E| is in back of |c|	backof(e,c)
|D| is smaller than |f|	smaller(d,f)
X and |e| both are the same shape	sameshape(x,e)
Both X. and |e| are the same shape	sameshape(x,e)
X. and |e| are the same shape	sameshape(x,e)
Both X. and |e| are the same shape	sameshape(x,e)
X and |e| are both the same shape	sameshape(x,e)
X. and |e| both are the same shape	sameshape(x,e)
X. is the same shape as |e|	sameshape(x,e)
Both x and |e| are the same shape	sameshape(x,e)
Both x and |e| are the same shape	sameshape(x,e)
X. and |e| are both the same shape	sameshape(x,e)
X is the same shape as |e|	sameshape(x,e)
X and |e| are the same shape	sameshape(x,e)
|F| likes |c|	likes(f,c)
Z. is the same size as |a|	samesize(z,a)
Both z and |a| are the same size	samesize(z,a)
Z and |a| are both the same size	samesize(z,a)
Both Z. and |a| are the same size	samesize(z,a)
Z is the same size as |a|	samesize(z,a)
Z. and |a| are both the same size	samesize(z,a)
Both z and |a| are the same size	samesize(z,a)
Z and |a| both are the same size	samesize(z,a)
Z and |a| are the same size	samesize(z,a)
Z. and |a| both are the same size	samesize(z,a)
Both Z. and |a| are the same size	samesize(z,a)
Z. and |a| are the same size	samesize(z,a)
|B| is a tetrahedron	tet(b)
Y. and |b| both are the same size	samesize(y,b)
Y. and |b| are the same size	samesize(y,b)
Y is the same size as |b|	samesize(y,b)
Y and |b| both are the same size	samesize(y,b)
Y. is the same size as |b|	samesize(y,b)
Both y and |b| are the same size	samesize(y,b)
Y and |b| are the same size	samesize(y,b)
Y. and |b| are both the same size	samesize(y,b)
Both Y. and |b| are the same size	samesize(y,b)
Both y and |b| are the same size	samesize(y,b)
Both Y. and |b| are the same size	samesize(y,b)
Y and |b| are both the same size	samesize(y,b)
|A| is to the left of |f|	leftof(a,f)
|E| is in front of |d|	frontof(e,d)
Z likes y	likes(z,y)
Z. likes y	likes(z,y)
|E| adjoins x	adjoins(e,x)
|E| is to the left of |e|	leftof(e,e)
|B| is larger than y	larger(b,y)
|E| is larger than y	larger(e,y)
Z. likes |b|	likes(z,b)
Z likes |b|	likes(z,b)
|F| is smaller than x	smaller(f,x)
|E| is smaller than |c|	smaller(e,c)
|C| is larger than |b|	larger(c,b)
Both y and y are the same size	samesize(y,y)
Y. and y both are the same size	samesize(y,y)
Both y and y are the same size	samesize(y,y)
Y and y are the same size	samesize(y,y)
Y and Y. are the same size	samesize(y,y)
Both y and Y. are the same size	samesize(y,y)
Both Y. and Y. are the same size	samesize(y,y)
Y. and y are the same size	samesize(y,y)
Both Y. and Y. are the same size	samesize(y,y)
Both Y. and y are the same size	samesize(y,y)
Y and Y. are both the same size	samesize(y,y)
Y is the same size as y	samesize(y,y)
Y. is the same size as y	samesize(y,y)
Both Y. and y are the same size	samesize(y,y)
Y. and Y. are the same size	samesize(y,y)
Y and Y. both are the same size	samesize(y,y)
Y and y both are the same size	samesize(y,y)
Y. and Y. both are the same size	samesize(y,y)
Y and y are both the same size	samesize(y,y)
Y. and Y. are both the same size	samesize(y,y)
Y	samesize(y,y)
Y. and y are both the same size	samesize(y,y)
Both y and Y. are the same size	samesize(y,y)
Y. is in the same column as |f|	samecol(y,f)
Both y and |f| are in the same column	samecol(y,f)
Y. and |f| are both in the same column	samecol(y,f)
Y. and |f| are in the same column	samecol(y,f)
Y and |f| are in the same column	samecol(y,f)
Both y and |f| are in the same column	samecol(y,f)
Y is in the same column as |f|	samecol(y,f)
Y. and |f| both are in the same column	samecol(y,f)
Both Y. and |f| are in the same column	samecol(y,f)
Y and |f| are both in the same column	samecol(y,f)
Y and |f| both are in the same column	samecol(y,f)
Both Y. and |f| are in the same column	samecol(y,f)
Z is in back of |c|	backof(z,c)
Z. is in back of |c|	backof(z,c)
X and z are in the same column	samecol(x,z)
X. and z are both in the same column	samecol(x,z)
X and z both are in the same column	samecol(x,z)
X and Z. are both in the same column	samecol(x,z)
X and z are both in the same column	samecol(x,z)
X and Z. both are in the same column	samecol(x,z)
Both X. and Z. are in the same column	samecol(x,z)
Both x and z are in the same column	samecol(x,z)
Both x and z are in the same column	samecol(x,z)
X. and Z. are in the same column	samecol(x,z)
Both x and Z. are in the same column	samecol(x,z)
Both X. and z are in the same column	samecol(x,z)
X. and z are in the same column	samecol(x,z)
Both x and Z. are in the same column	samecol(x,z)
X and Z. are in the same column	samecol(x,z)
X. and Z. both are in the same column	samecol(x,z)
Both X. and z are in the same column	samecol(x,z)
Both X. and Z. are in the same column	samecol(x,z)
X. and z both are in the same column	samecol(x,z)
X. and Z. are both in the same column	samecol(x,z)
Z is the same shape as |a|	sameshape(z,a)
Z. is the same shape as |a|	sameshape(z,a)
Both z and |a| are the same shape	sameshape(z,a)
Both Z. and |a| are the same shape	sameshape(z,a)
Z. and |a| are both the same shape	sameshape(z,a)
